Species,ID,Study,Sample,Author,Family,Opsin_Class,Opsin_Gene,Treatment,Type,"Exposure
_days",Age_dph,Significance,Mean1,SD1,N1,Mean2,SD2,N2,Dval
Cichla monoculus,81334,1,1,Escobar-Camacho et al. 2019,Cichlidae,sws2,sws2b,light,reared,360,360,NS,0.0246,0.0174,4,0.026,0.0072,3,NA
Cichla monoculus,81334,1,1,Escobar-Camacho et al. 2019,Cichlidae,sws2,sws2a,light,reared,360,360,NS,0.2962,0.2015,4,0.4518,0.0687,3,NA
Cichla monoculus,81334,1,1,Escobar-Camacho et al. 2019,Cichlidae,rh2,rh2ab,light,reared,360,360,NS,0.3838,0.2206,4,0.4086,0.0391,3,NA
Cichla monoculus,81334,1,1,Escobar-Camacho et al. 2019,Cichlidae,rh2,rh2aa,light,reared,360,360,NS,0.0627,0.0394,4,0.0469,0.0061,3,NA
Cichla monoculus,81334,1,1,Escobar-Camacho et al. 2019,Cichlidae,lws,lws,light,reared,360,360,NS,4,2.4422,4,3.7833,0.4778,3,NA
Cichla monoculus,81334,1,1,Escobar-Camacho et al. 2019,Cichlidae,rh1,rh1,light,reared,360,360,NS,24.6701,1.8867,4,25.1523,3.7591,3,NA
Amphilophus citrinellus ,61819,2,1,Karagic et al. 2022,Cichlidae,sws1,sws1,hormone,reared,14,28,NS,0.0599,0.0353,8,0.0267,0.0246,8,NA
Amphilophus citrinellus ,61819,2,1,Karagic et al. 2022,Cichlidae,sws2,sws2a,hormone,reared,14,28,NS,0.0535,0.0289,8,0.0321,0.0203,8,NA
Amphilophus citrinellus ,61819,2,1,Karagic et al. 2022,Cichlidae,sws2,rh2ab,hormone,reared,14,28,S,0.0342,0.0524,8,0.1529,0.0588,8,NA
Amphilophus citrinellus ,61819,2,1,Karagic et al. 2022,Cichlidae,rh2,rh2a,hormone,reared,14,28,S,0.1528,0.1139,8,0,0,8,NA
Amphilophus citrinellus ,61819,2,1,Karagic et al. 2022,Cichlidae,rh2,rh2b,hormone,reared,14,28,S,0.4417,0.0222,8,0.3333,0.0583,8,NA
Amphilophus citrinellus ,61819,2,1,Karagic et al. 2022,Cichlidae,lws,lws,hormone,reared,14,28,S,0.2556,0.1,8,0.4528,0.0611,8,NA
Oncorhynchus tshawytscha,74940,3,1,Flamarique et al. 2019,Salmonidae,sws1,sws1,light,reared,30,70,NS,20.3,1.68,8,19.8,2.11,8,NA
Oncorhynchus tshawytscha,74940,3,1,Flamarique et al. 2019,Salmonidae,lws,lws,light,reared,30,70,NS,19.6,2.51,8,19.1,1.84,8,NA
Oncorhynchus tshawytscha,74940,3,1,Flamarique et al. 2019,Salmonidae,rh2,rh2,light,reared,30,70,NS,18.9,2.25,8,19.3,1.96,8,NA
Oncorhynchus tshawytscha,74940,3,1,Flamarique et al. 2019,Salmonidae,sws2,sws2,light,reared,30,70,NS,8.13,1.82,8,8.98,2.11,8,NA
Maylandia zebra,106582,4,1,Dalton et al. 2015,Cichlidae,sws1,sws1,light,reared,180,180,S,0.4989,0.2231,5,1.0177,0.2529,5,NA
Maylandia zebra,106582,4,1,Dalton et al. 2015,Cichlidae,sws2,sws2b,light,reared,180,180,NS,0.2195,0.1487,5,0.3525,0.3272,5,NA
Maylandia zebra,106582,4,1,Dalton et al. 2015,Cichlidae,rh2,rh2b,light,reared,180,180,S,0.3925,0.1636,5,0.9712,0.2975,5,NA
Maylandia zebra,106582,4,1,Dalton et al. 2015,Cichlidae,rh2,rh2ab,light,reared,180,180,S,0.2528,0.1785,5,0.2129,0.1785,5,NA
Maylandia zebra,106582,4,1,Dalton et al. 2015,Cichlidae,rh2,rh2aa,light,reared,180,180,NS,1.949,1.0561,5,2.3947,0.238,5,NA
Maylandia zebra,106582,4,1,Dalton et al. 2015,Cichlidae,lws,lws,light,reared,180,180,S,0.3725,0.2826,5,0.9845,1.1602,5,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws1,sws1,light,reared,7,7,S,0.2976,0.1361,6,0.0709,0.0471,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws2,sws2b,light,reared,7,7,S,0.0012,0.0004,6,0.1307,0.0467,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws2,sws2a,light,reared,7,7,S,0,0,6,0.0523,0.0353,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,rh2,rh2b,light,reared,7,7,S,0.2349,0.0554,6,0.0187,0.0206,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,rh2,rh2ab,light,reared,7,7,S,0.4059,0.0692,6,0.4983,0.031,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,lws,lws,light,reared,7,7,S,0.0603,0.0266,6,0.229,0.0596,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws1,sws1,light,reared,14,14,S,0.1273,0.0169,6,0.0327,0.0657,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws2,sws2b,light,reared,14,14,S,0.0029,0.0011,6,0.1766,0.0584,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws2,sws2a,light,reared,14,14,S,0.0002,0.0005,6,0.0657,0.0591,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,rh2,rh2b,light,reared,14,14,S,0.1916,0.0122,6,0.0717,0.0528,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,rh2,rh2ab,light,reared,14,14,S,0.5784,0.0442,6,0.4355,0.1371,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,lws,lws,light,reared,14,14,S,0.0996,0.0367,6,0.2179,0.0483,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws1,sws1,light,reared,14,180,NS,0.0136,0.0071,5,0.0001,0.0001,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws2,sws2b,light,reared,14,180,S,0.2972,0.2911,5,0.0456,0.1006,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,sws2,sws2a,light,reared,14,180,S,0.0046,0.0043,5,0.0821,0.0517,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,rh2,rh2b,light,reared,14,180,S,0.1129,0.0358,5,0.002,0.0048,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,rh2,rh2ab,light,reared,14,180,S,0.3525,0.1971,5,0.5731,0.1412,6,NA
Amphilophus astorquii ,676247,5,1,Härer et al. 2017,Cichlidae,lws,lws,light,reared,14,180,NS,0.2192,0.181,5,0.2972,0.1381,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws1,sws1,light,reared,7,7,S,0.1783,0.0572,6,0.0058,0.0065,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws2,sws2b,light,reared,7,7,NS,0.0024,0.0006,6,0.0137,0.0056,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws2,sws2a,light,reared,7,7,S,0,0,6,0.1661,0.0594,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,rh2,rh2b,light,reared,7,7,S,0.233,0.0225,6,0.0007,0.0003,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,rh2,rh2ab,light,reared,7,7,NS,0.4273,0.0636,6,0.4651,0.0361,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,lws,lws,light,reared,7,7,S,0.1591,0.0323,6,0.3486,0.0589,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws1,sws1,light,reared,14,14,S,0.1151,0.0244,6,0.0009,0.0003,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws2,sws2b,light,reared,14,14,NS,0.0033,0.0012,6,0.0123,0.0065,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws2,sws2a,light,reared,14,14,S,0,0,6,0.1467,0.0129,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,rh2,rh2b,light,reared,14,14,S,0.23,0.0876,6,0.0006,0.0004,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,rh2,rh2ab,light,reared,14,14,NS,0.5137,0.0551,6,0.5678,0.0412,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,lws,lws,light,reared,14,14,S,0.138,0.0735,6,0.2717,0.0361,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws1,sws1,light,reared,14,180,NS,0,0,6,0.0045,0.0109,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws2,sws2b,light,reared,14,180,NS,0.0144,0.0089,6,0.0314,0.0273,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,sws2,sws2a,light,reared,14,180,NS,0.1237,0.0365,6,0.1084,0.0473,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,rh2,rh2b,light,reared,14,180,NS,0,0,6,0.0003,0.0002,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,rh2,rh2ab,light,reared,14,180,NS,0.3674,0.2025,6,0.4067,0.2443,6,NA
Amphilophus citrinellus ,61819,5,2,Härer et al. 2017,Cichlidae,lws,lws,light,reared,14,180,NS,0.4944,0.1721,6,0.4487,0.2232,6,NA
Poecilia reticulata,8081,6,1,Ehlman et al. 2015,Poecilidae,sws1,sws1,light,reared,120,120,S,0.1194,0.0639,19,0.0921,0.0639,19,NA
Poecilia reticulata,8081,6,1,Ehlman et al. 2015,Poecilidae,sws2,sws2b,light,reared,120,120,S,0.1026,0.1004,19,0.1173,0.0913,19,NA
Poecilia reticulata,8081,6,1,Ehlman et al. 2015,Poecilidae,rh2,rh2_1,light,reared,120,120,S,0.2911,0.1826,19,0.1508,0.1187,19,NA
