Species,NCBI_TaxID,Tree_ID,search_string,unique_name,habitat
Acanthurus triostegus,175435,'Acanthurus triostegus',acanthurus triostegus,Acanthurus triostegus,marine
Amphilophus astorquii ,676247,'Amphilophus astorquii',amphilophus astorquii,Amphilophus astorquii,freshwater
Amphilophus citrinellus ,61819,'Amphilophus citrinellus',amphilophus citrinellus,Amphilophus citrinellus,freshwater
Anguilla anguilla,7936,'Anguilla anguilla',anguilla anguilla,Anguilla anguilla,anadromous
Chrysiptera rollandi,196128,'Chrysiptera rollandi',chrysiptera rollandi,Chrysiptera rollandi,marine
Cichla monoculus,81334,'Cichla monoculus',cichla monoculus,Cichla monoculus,freshwater
Cyprinella lutrensis,28791,'Cyprinella lutrensis',cyprinella lutrensis,Cyprinella lutrensis,freshwater
Danio rerio,7955,'Danio rerio',danio rerio,Danio rerio,freshwater
Dascyllus aruanus,80949,'Dascyllus aruanus',dascyllus aruanus,Dascyllus aruanus,marine
Dascyllus reticulatus,80951,'Dascyllus reticulatus',dascyllus reticulatus,Dascyllus reticulatus,marine
Gadus morhua,8049,'Gadus morhua',gadus morhua,Gadus morhua (species in domain Eukaryota),marine
Gambusia affinis,33528,'Gambusia affinis',gambusia affinis,Gambusia affinis,freshwater
Gasterosteus aculeatus,69293,'Gasterosteus aculeatus',gasterosteus aculeatus,Gasterosteus aculeatus,anadromous
Haplochromis burtoni,8153,'Haplochromis burtoni',haplochromis burtoni,Haplochromis burtoni,freshwater
Haplochromis sauvagei,77313,'Haplochromis sauvagei',haplochromis sauvagei,Haplochromis sauvagei,freshwater
Hippoglossus hippoglossus,8267,'Hippoglossus hippoglossus',hippoglossus hippoglossus,Hippoglossus hippoglossus,marine
Labeotropheus trewavasae,120210,'Labeotropheus trewavasae',labeotropheus trewavasae,Labeotropheus trewavasae,freshwater
Lucania goodei,232977,'Lucania goodei',lucania goodei,Lucania goodei,freshwater
Maylandia benetos,441512,'Maylandia benetos',maylandia benetos,Maylandia benetos,freshwater
Maylandia lombardoi,40195,'Maylandia lombardoi',maylandia lombardoi,Maylandia lombardoi,freshwater
Maylandia mbenjii,441518,'Maylandia mbenjii',maylandia mbenjii,Maylandia mbenjii,freshwater
Maylandia zebra,106582,'Maylandia zebra',maylandia zebra,Maylandia zebra,freshwater
Megalops atlanticus,7932,'Megalops atlanticus',megalops atlanticus,Megalops atlanticus,marine
Melanochromis auratus,27751,'Melanochromis auratus',melanochromis auratus,Melanochromis auratus,freshwater
Melanochromis johannii,28812,'Melanochromis johannii',melanochromis johannii,Melanochromis johannii,freshwater
Oncorhynchus kisutch,8019,'Oncorhynchus kisutch',oncorhynchus kisutch,Oncorhynchus kisutch,anadromous
Oncorhynchus tshawytscha,74940,'Oncorhynchus tshawytscha',oncorhynchus tshawytscha,Oncorhynchus tshawytscha,anadromous
Ostorhinchus cyanosoma,223981,'Ostorhinchus cyanosoma',ostorhinchus cyanosoma,Ostorhinchus cyanosoma,anadromous
Platichthys stellatus,195632,'Platichthys stellatus',platichthys stellatus,Platichthys stellatus,marine
Poecilia reticulata,8081,'Poecilia reticulata',poecilia reticulata,Poecilia reticulata,freshwater
Pomacentrus amboinensis,393602,'Pomacentrus amboinensis',pomacentrus amboinensis,Pomacentrus amboinensis,marine
Pomacentrus coelestis,80955,'Pomacentrus coelestis',pomacentrus coelestis,Pomacentrus coelestis,marine
Pomacentrus moluccensis,80956,'Pomacentrus moluccensis',pomacentrus moluccensis,Pomacentrus moluccensis,marine
Pomacentrus nagasakiensis,229136,'Pomacentrus nagasakiensis',pomacentrus nagasakiensis,Pomacentrus nagasakiensis,marine
Pundamilia nyererei,303518,'Pundamilia nyererei',pundamilia nyererei,Pundamilia nyererei,freshwater
Pundamilia pundamilia,195937,'Pundamilia pundamilia',pundamilia pundamilia,Pundamilia pundamilia,freshwater
Solea senegalensis,28829,'Solea senegalensis',solea senegalensis,Solea senegalensis,marine
